Country,League,Season,Date,Round,Home team,Home team place total,Home team place home,Away team,Away team place total,Away team place away,Home team win odds,Draw odds,Away team win odds,Home team form,Away team form,Form difference,Home team corners,Away team corners,ELO_home,ELO_away,corners_won_h,corners_conceded_h,ball_poss_h,ball_poss_conceded_h,ppg_h,corners_won_a,corners_conceded_a,ball_poss_a,ball_poss_conceded_a,ppg_a,shots_won_h,shots_conceded_h,shots_target_h,shots_target_conceded_h,ppg_opponent_h,shots_won_a,shots_conceded_a,shots_target_a,shots_target_conceded_a,ppg_opponent_a,corners_won_total,corners_conceded_total,ball_poss_total,ball_poss_conceded_total,ppg_total,shots_won_total,shots_conceded_total,shots_target_total,shots_target_conceded_total,ppg_opponent_total
England,Premier L,20,09/08/2019,1,Liverpool,2,2,Norwich,6,6,1.14,10.43,19.63,0,0,0,11,2,2129.0,1699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Premier L,20,10/08/2019,1,West Ham,13,13,Man City,5,5,11.11,6.68,1.27,0,0,0,1,1,1774.0,2175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Premier L,20,10/08/2019,1,Bournemouth,20,20,Sheff Utd,14,14,1.98,3.67,4.06,0,0,0,3,4,1685.0,1692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Premier L,20,10/08/2019,1,Burnley,16,16,Southampton,4,4,2.71,3.19,2.9,0,0,0,2,7,1690.0,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Premier L,20,10/08/2019,1,C Palace,7,7,Everton,9,9,3.37,3.45,2.27,0,0,0,6,2,1814.0,1845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Premier L,20,10/08/2019,1,Watford,15,15,Brighton,18,18,2.05,3.38,4.12,0,0,0,5,2,1683.0,1562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Premier L,20,10/08/2019,1,Tottenham,1,1,Aston Villa,3,3,1.39,5.35,8.42,0,0,0,14,0,1841.0,1654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Premier L,20,11/08/2019,1,Leicester,19,19,Wolves,17,17,2.5,3.12,3.3,0,0,0,12,3,1763.0,1790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Premier L,20,11/08/2019,1,Newcastle,8,8,Arsenal,10,10,3.36,3.56,2.25,0,0,0,5,3,1773.0,1858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Premier L,20,11/08/2019,1,Man Utd,12,12,Chelsea,11,11,2.04,3.44,4.14,0,0,0,3,5,1812.0,1879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
