country,season,date,ko_time,round,home_team,away_team,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,home_team_place_total,home_team_place_home,away_team_place_total,away_team_place_away,home_odds,draw_odds,away_odds,elo_home,elo_away,form_home,form_away,shots_home,shots_home_1h,shots_home_2h,shots_away,shots_away_1h,shots_away_2h,shots_on_target_home,shots_on_target_home_1h,shots_on_target_home_2h,shots_on_target_away,shots_on_target_away_1h,shots_on_target_away_2h,corners_home,corners_home_1h,corners_home_2h,corners_away,corners_away_1h,corners_away_2h,fouls_home,fouls_home_1h,fouls_home_2h,fouls_away,fouls_away_1h,fouls_away_2h,yellow_cards_home,yellow_cards_home_1h,yellow_cards_home_2h,yellow_cards_away,yellow_cards_away_1h,yellow_cards_away_2h,possession_home,possession_home_1h,possession_home_2h,possession_away,possession_away_1h,possession_away_2h,goals_scored_total_home,goals_conceded_total_home,goals_scored_total_away,goals_conceded_total_away,points_home,points_away,running_avg_corners_home,running_avg_shots_home,running_avg_shots_on_target_home,running_avg_possession_home,running_avg_points_home,running_avg_corners_away,running_avg_shots_away,running_avg_shots_on_target_away,running_avg_possession_away,running_avg_points_away,running_avg_home_corners_home,running_avg_home_shots_home,running_avg_home_shots_on_target_home,running_avg_home_possession_home,running_avg_home_points_home,running_avg_away_corners_away,running_avg_away_shots_away,running_avg_away_shots_on_target_away,running_avg_away_possession_away,running_avg_away_points_away,running_avg_window3_corners_home,running_avg_window3_corners_away,running_avg_window3_home_corners_home,running_avg_window3_away_corners_away,running_avg_window3_shots_home,running_avg_window3_shots_away,running_avg_window3_home_shots_home,running_avg_window3_away_shots_away,running_avg_window3_shots_on_target_home,running_avg_window3_shots_on_target_away,running_avg_window3_home_shots_on_target_home,running_avg_window3_away_shots_on_target_away,running_avg_window3_possession_home,running_avg_window3_possession_away,running_avg_window3_home_possession_home,running_avg_window3_away_possession_away,running_avg_window3_points_home,running_avg_window3_points_away,running_avg_window3_home_points_home,running_avg_window3_away_points_away,running_avg_window5_corners_home,running_avg_window5_corners_away,running_avg_window5_home_corners_home,running_avg_window5_away_corners_away,running_avg_window5_shots_home,running_avg_window5_shots_away,running_avg_window5_home_shots_home,running_avg_window5_away_shots_away,running_avg_window5_shots_on_target_home,running_avg_window5_shots_on_target_away,running_avg_window5_home_shots_on_target_home,running_avg_window5_away_shots_on_target_away,running_avg_window5_possession_home,running_avg_window5_possession_away,running_avg_window5_home_possession_home,running_avg_window5_away_possession_away,running_avg_window5_points_home,running_avg_window5_points_away,running_avg_window5_home_points_home,running_avg_window5_away_points_away
Eng1,21,2020-09-12,2000,1,West Ham,Newcastle,0,2,0,0,14.0,14.0,9.0,9.0,2.07,3.64,3.76,1713,1685,0,0,15,8,7,15,10,5,3,1,2,2,1,1,8,2,6,7,4,3,13,9,4,7,4,3,2,0,2,2,1,1,58,58,58,42,42,42,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng1,21,2020-09-12,1730,1,Liverpool,Leeds,4,3,3,2,2.0,2.0,18.0,18.0,1.31,6.26,9.56,2092,1688,0,0,22,9,13,6,2,4,6,4,2,3,2,1,9,3,6,0,0,0,9,3,6,6,3,3,1,1,0,0,0,0,48,49,47,52,51,53,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng1,21,2020-09-12,1500,1,C Palace,Southampton,1,0,1,0,8.0,8.0,4.0,4.0,3.4,3.35,2.33,1652,1813,0,0,5,2,3,9,2,7,3,2,1,5,2,3,7,3,4,3,2,1,14,7,7,11,5,6,2,1,1,1,0,1,29,28,30,71,72,70,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng1,21,2020-09-12,1230,1,Fulham,Arsenal,0,3,0,1,7.0,7.0,11.0,11.0,6.05,4.63,1.55,1596,1853,0,0,5,2,3,13,7,6,2,1,1,6,3,3,2,1,1,3,0,3,12,5,7,12,7,5,2,1,1,2,1,1,45,48,42,55,52,58,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng1,21,2020-09-13,1630,1,Tottenham,Everton,0,1,0,0,1.0,1.0,10.0,10.0,1.96,3.59,4.27,1854,1720,0,0,9,5,4,15,6,9,5,3,2,4,1,3,5,2,3,3,2,1,15,3,12,7,5,2,1,1,0,0,0,0,52,49,55,48,51,45,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng1,21,2020-09-13,1400,1,West Bromwich,Leicester,0,3,0,0,5.0,5.0,20.0,20.0,3.85,3.7,2.03,1588,1758,0,0,7,5,2,13,6,7,1,1,0,7,3,4,2,2,0,5,1,4,12,5,7,9,6,3,1,0,1,1,1,0,37,36,38,63,64,62,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng1,21,2020-09-14,2015,1,Brighton,Chelsea,1,3,0,1,19.0,19.0,12.0,12.0,5.59,4.44,1.61,1685,1847,0,0,13,7,6,10,5,5,3,1,2,5,2,3,4,3,1,3,1,2,8,6,2,13,6,7,1,1,0,0,0,0,52,59,45,48,41,55,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng1,21,2020-09-14,1800,1,Sheff Utd,Wolves,0,2,0,2,15.0,15.0,17.0,17.0,3.35,3.08,2.51,1748,1827,0,0,9,1,8,11,4,7,2,1,1,4,3,1,12,4,8,5,2,3,13,7,6,7,3,4,2,2,0,1,0,1,55,51,59,45,49,41,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng1,21,2020-09-19,1730,2,Man Utd,C Palace,1,3,0,1,11.0,10.0,7.0,13.0,1.4,4.97,9.53,1946,1675,0,0,17,8,9,14,7,7,4,2,2,5,2,3,9,4,5,3,2,1,13,8,5,10,4,6,2,2,0,1,1,0,76,74,78,24,26,22,0,0,1,0,0,3,,,,,,7.0,5.0,3.0,29.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng1,21,2020-09-19,1500,2,Leeds,Fulham,4,3,2,1,13.0,13.0,20.0,12.0,1.75,3.91,5.12,1685,1575,0,0,10,3,7,14,6,8,7,3,4,6,2,4,5,5,0,3,3,0,13,5,8,18,4,14,1,1,0,2,2,0,50,46,54,50,54,46,3,4,0,3,3,0,0.0,6.0,3.0,52.0,0.0,2.0,5.0,2.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
